rank,status,recommended,feature_readable,feature_family,condition,base_feature,formula_readable,formula_family,pairwise_n,valid_fraction,spearman_r,abs_spearman,bootstrap_sign_stability,mutual_information,not_recommended_reason,feature_name
68,reject,False,"Deviation from personal baseline, sit before training: pNN50, % — robust z-score",HRV time,"Deviation from personal baseline, sit before training",hrv_time__pNN50_percent,robust z-score,normalized_deviation,18,0.818,0.062,0.062,0.576,0.0,low_abs_spearman;low_bootstrap_stability,ecg_baseline_before::baseline_dev_sit_before__hrv_time__pNN50_percent__robust_z
69,reject,False,"SD1/SD2 ratio (before, sit, full)",ECG raw,before/sit/full,hrv_nonlinear__SD1_SD2_ratio,absolute value,SD1_SD2_ratio,22,1.0,-0.059,0.059,0.548,0.015,low_abs_spearman;low_bootstrap_stability,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD1_SD2_ratio
70,weak,False,"Orthostatic response before training: Mean NN interval, ms — difference",HRV time,Orthostatic response before training,hrv_time__MeanNN_ms,difference,absolute_change,22,1.0,0.059,0.059,0.604,0.0,low_abs_spearman,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanNN_ms__delta
71,reject,False,"Deviation from personal baseline, sit before training: HF power — difference",HRV frequency,"Deviation from personal baseline, sit before training",hrv_freq__HF_power,difference,absolute_change,18,0.818,0.057,0.057,0.584,0.0,low_abs_spearman;low_bootstrap_stability,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__HF_power__delta
72,reject,False,"Deviation from personal baseline, sit before training: pNN50, % — difference",HRV time,"Deviation from personal baseline, sit before training",hrv_time__pNN50_percent,difference,absolute_change,18,0.818,0.053,0.053,0.542,0.0,low_abs_spearman;low_bootstrap_stability,ecg_baseline_before::baseline_dev_sit_before__hrv_time__pNN50_percent__delta
73,reject,False,"Poincaré SD1, ms (before, sit, full)",ECG raw,before/sit/full,hrv_nonlinear__SD1_ms,absolute value,SD1_ms,21,0.955,0.048,0.048,0.556,0.027,low_abs_spearman;low_bootstrap_stability,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD1_ms
74,reject,False,"RMSSD, ms (before, sit, full)",ECG raw,before/sit/full,hrv_time__RMSSD_ms,absolute value,RMSSD_ms,21,0.955,0.044,0.044,0.548,0.049,low_abs_spearman;low_bootstrap_stability,ecg_raw_rest_before::before__sit__full__hrv_time__RMSSD_ms
75,reject,False,"Inhale breath-hold response before training: RMSSD, ms — percent change",HRV time,Inhale breath-hold response before training,hrv_time__RMSSD_ms,percent change,relative_change,22,1.0,-0.04,0.04,0.574,0.0,low_abs_spearman;low_bootstrap_stability,ecg_breath_before::breath_in_response_before__hrv_time__RMSSD_ms__percent_delta
76,reject,False,"QRS main amplitude (before, long, full)",ECG raw,before/long/full,morph_qrs__QRS_main_amp,absolute value,QRS_main_amp,7,0.318,-0.036,0.036,0.503,0.064,low_valid_fraction;low_abs_spearman;low_bootstrap_stability,ecg_raw_rest_before::before__long__full__morph_qrs__QRS_main_amp
77,reject,False,"pNN50, % (before, sit, full)",ECG raw,before/sit/full,hrv_time__pNN50_percent,absolute value,pNN50_percent,21,0.955,-0.021,0.021,0.58,0.045,low_abs_spearman;low_bootstrap_stability,ecg_raw_rest_before::before__sit__full__hrv_time__pNN50_percent
78,reject,False,"Orthostatic response before training: Mean heart rate, bpm — percent change",HRV time,Orthostatic response before training,hrv_time__MeanHR_bpm,percent change,relative_change,22,1.0,-0.013,0.013,0.53,0.0,low_abs_spearman;low_bootstrap_stability,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanHR_bpm__percent_delta
