feature,role,source_table,feature_family,n_total,n_valid,valid_ratio,n_missing,missing_ratio,n_unique,mean,median,std,iqr,min,max,usable,reason
ecg_der__orthostatic_before__ratio__hrv_freq__LF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,2.771451351603564,1.3168169886843557,4.087926098551151,2.6423431395041863,0.1790076010386238,19.08016805804617,True,ok
ecg_der__orthostatic_before__delta__hrv_freq__HF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,-7.890314355594128e-05,-7.525179221510427e-05,0.00020990694472281082,0.00014352540169822498,-0.0008232227279323,0.0002552890264703,True,ok
ecg_der__orthostatic_before__percent_delta__hrv_freq__HF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,-10.459066176750275,-44.417941157704234,94.46982921645467,76.24219257081688,-79.70300631063158,342.44155108465736,True,ok
ecg_der__orthostatic_before__ratio__hrv_freq__HF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,0.8954093382324971,0.5558205884229577,0.9446982921645467,0.7624219257081689,0.2029699368936842,4.424415510846574,True,ok
ecg_der__orthostatic_before__delta__hrv_freq__LF_HF_ratio,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,3.18282076814176,1.2224442836892173,5.845623903731907,6.7925995168458,-4.491263554285037,17.614810300384946,True,ok
ecg_der__orthostatic_before__percent_delta__hrv_freq__LF_HF_ratio,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,360.27094193644103,147.37909990252058,521.2687799330439,560.3822535921007,-77.55865598489844,1891.3933824103387,True,ok
ecg_der__orthostatic_before__ratio__hrv_freq__LF_HF_ratio,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,4.602709419364411,2.473790999025206,5.212687799330438,5.603822535921007,0.2244134401510156,19.91393382410339,True,ok
ecg_der__orthostatic_after__delta__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,17.563490815457598,17.881372012452026,7.538778767353443,7.009476513256917,5.84941223113713,38.8895608682089,True,ok
ecg_der__orthostatic_after__percent_delta__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,26.85261314353646,27.124724572444645,11.330767048695009,8.90599023514649,11.533541014253364,60.72691420153355,True,ok
ecg_der__orthostatic_after__ratio__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,1.2685261314353646,1.2712472457244464,0.11330767048695006,0.08905990235146466,1.1153354101425337,1.6072691420153356,True,ok
ecg_der__orthostatic_after__delta__hrv_time__MeanNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,-185.55553738088568,-187.2774720599828,62.883259247300714,74.66845576878288,-352.0777988819185,-97.43556482033011,True,ok
ecg_der__orthostatic_after__percent_delta__hrv_time__MeanNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,-19.93361183145361,-19.49192398417398,6.567082954725178,6.070684691417867,-37.45164783584104,-10.399302480825025,True,ok
ecg_der__orthostatic_after__ratio__hrv_time__MeanNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,0.8006638816854637,0.8050807601582601,0.0656708295472518,0.0607068469141786,0.6254835216415896,0.8960069751917498,True,ok
ecg_der__orthostatic_after__delta__hrv_time__SDNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,29.9690860806684,14.55714160611409,51.55522782229623,36.05130421157962,-49.64546233661724,207.78739459004996,True,ok
ecg_der__orthostatic_after__percent_delta__hrv_time__SDNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,79.83773511540393,38.975405377694635,117.93756744868756,85.82849975131904,-68.89420459763177,403.3657261571904,True,ok
